Path,Day_0,Day_1,Day_2,Day_3,Day_4,Day_5,Day_6,Day_7,Day_8,Day_9,Day_10,Day_11,Day_12,Day_13,Day_14,Day_15,Day_16,Day_17,Day_18,Day_19,Day_20,Day_21,Day_22,Day_23,Day_24,Day_25,Day_26,Day_27,Day_28,Day_29,Day_30
Path_62,15.1671,14.9842,15.0681,14.8832,14.5372,14.1495,14.4845,14.2179,14.1106,13.7441,13.5049,13.5049,13.4223,12.8810,12.7329,12.6579,12.7350,12.9374,13.2462,13.1001,13.5867,13.4370,13.3273,13.3431,13.3138,13.3795,13.4696,13.7777,13.6599,13.9635,14.1027
Path_63,15.1671,15.3004,15.2611,15.4549,15.3913,15.7187,15.9836,16.2895,16.2895,16.3088,16.5667,16.2664,17.4687,16.7837,16.7837,16.7837,16.7334,16.2810,16.6172,16.3832,16.6506,16.8757,17.0153,17.5027,17.2609,17.2609,17.4721,17.6224,17.5497,18.3854,19.5345
Path_64,15.1671,14.2040,14.5778,14.6770,14.6770,14.8746,14.5385,13.8531,13.8039,13.7193,13.4554,13.3373,13.4929,14.1817,14.7490,15.8245,15.5641,15.6307,15.8556,16.5270,17.0505,17.4089,17.9185,17.4484,17.3457,17.6528,18.2153,18.2369,17.6565,17.5181,17.5181
Path_65,15.1671,15.0226,14.5423,14.4147,14.4980,14.5492,14.4546,14.4027,14.0826,14.4523,14.3808,13.9513,13.6518,14.0031,13.9807,14.0245,13.9794,14.0450,13.8717,14.3798,14.0346,14.2619,14.2164,14.4644,14.4644,14.6594,15.0259,15.5728,15.3979,15.1852,14.8917
Path_66,15.1671,14.8962,14.8062,14.4884,15.5601,15.2262,15.9673,16.2436,16.3772,16.3233,16.4734,16.2129,15.7688,15.6304,15.5343,15.2355,15.5613,15.3998,15.6435,15.2420,15.2420,15.3032,14.9555,15.2122,15.0443,14.9851,14.9185,15.4748,15.7403,15.6913,15.7403
Path_67,15.1671,14.9593,15.0206,14.8667,15.6257,15.6257,15.4164,15.2152,15.5376,15.3938,15.6798,15.1322,14.6384,14.3256,13.7638,13.6174,13.3215,13.1988,13.1281,13.4032,13.3228,13.5748,14.1703,14.0110,14.0110,13.9690,14.3887,14.3887,14.3887,14.4334,13.7560
Path_68,15.1671,15.1671,15.5795,16.3309,16.2668,16.4386,16.2112,15.6011,15.4677,14.8321,14.7828,14.7041,14.7041,14.9527,15.1652,15.2095,15.0898,15.0375,14.8512,15.0357,14.5605,14.8484,14.7300,14.7300,14.4720,14.6517,15.0120,15.1149,15.2278,15.3801,16.3468
Path_69,15.1671,15.2975,14.9547,14.9547,14.6770,14.4774,14.2628,13.7200,14.2871,13.9373,13.5650,13.8336,13.6773,13.7723,13.9079,13.8678,14.0457,14.0052,14.2589,14.3388,14.3388,14.0987,14.4291,13.8120,13.1354,12.4671,12.8072,11.9693,11.6948,11.4603,11.1419
Path_70,15.1671,15.1671,15.3415,15.2921,16.0392,15.9114,15.3197,14.6361,14.2777,14.6478,14.6683,14.7365,14.6917,14.3105,14.3105,14.3105,14.2069,14.2069,14.9322,14.3823,14.3823,14.4308,14.5477,14.6055,14.9429,15.1002,15.3723,15.5020,15.3537,14.3750,14.0624
Path_71,15.1671,14.6334,14.7899,14.6348,14.5789,14.7754,14.7961,14.6178,14.4498,14.2779,14.5464,14.5945,13.8888,14.1678,15.2303,15.3507,14.6270,14.5776,14.2963,14.5553,15.0630,15.0424,15.0919,15.0919,14.7844,14.3039,14.4037,14.7387,14.3439,14.3439,15.2834
